7065639,NORMANDIN         ,QC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2011
7065639,NORMANDIN         ,QC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2011
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1936, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.1, ,    14.3, ,    11.2, ,     2.6, ,    -7.7, ,   -13.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.0, 
1937,   -17.6, ,   -11.6, ,   -12.6, , -9999.9,M,    10.6, ,    15.0, ,    18.7, ,    18.3, ,    10.9, ,     5.2, ,    -2.6, ,   -13.6, , -9999.9,M,   -14.3, , -9999.9,M,    17.3, ,     4.5, 
1938,   -18.4, ,   -17.0, ,    -9.6, ,     1.4, ,     9.5, ,    17.6, ,    17.6, ,    16.6, ,    10.5, ,     6.1, ,    -2.8, ,   -11.0, ,     1.7, ,   -16.3, ,      .4, ,    17.3, ,     4.6, 
1939,   -18.2, ,   -17.6, ,   -14.7, ,    -1.2, ,     7.8, ,    14.5, ,    18.2, ,    17.5, ,    10.6, ,     3.8, ,    -4.7, ,   -10.3, ,      .5, ,   -15.6, ,    -2.7, ,    16.7, ,     3.2, 
1940,   -15.6, ,   -15.8, ,    -9.0, ,    -1.1, ,     8.5, ,    13.2, ,    17.4, ,    16.2, ,    11.7, ,     3.4, ,    -4.0, ,   -16.1, ,      .7, ,   -13.9, ,     -.5, ,    15.6, ,     3.7, 
1941,   -20.0, ,   -12.9, ,    -8.9, ,     2.0, ,     9.7, ,    15.5, ,    18.4, ,    14.0, ,    11.3, ,     3.9, ,    -3.2, ,   -11.8, ,     1.5, ,   -16.3, ,      .9, ,    16.0, ,     4.0, 
1942,   -20.3, ,   -13.9, ,    -5.0, ,     2.0, ,    11.2, ,    16.2, ,    16.0, ,    16.2, ,    11.1, ,     5.6, ,    -3.1, ,   -17.5, ,     1.5, ,   -15.3, ,     2.7, ,    16.1, ,     4.5, 
1943,   -21.1, ,   -15.6, ,   -13.6, ,    -4.1, ,     7.6, ,    13.7, ,    17.9, ,    15.1, ,    10.8, ,     6.8, ,    -2.5, ,   -14.9, ,      .0, ,   -18.1, ,    -3.4, ,    15.6, ,     5.0, 
1944,   -12.7, ,   -17.3, ,   -11.0, ,    -1.1, ,    10.1, ,    14.5, ,    17.4, ,    17.8, ,    12.7, ,     3.7, ,    -1.0, ,   -15.2, ,     1.5, ,   -15.0, ,     -.7, ,    16.6, ,     5.1, 
1945,   -22.3, ,   -14.8, ,    -5.3, ,     3.0, ,     8.5, ,    13.9, ,    17.0, ,    16.7, ,    10.9, ,     3.1, ,    -3.8, ,   -13.5, ,     1.1, ,   -17.4, ,     2.1, ,    15.9, ,     3.4, 
1946,   -17.1, ,   -19.4, ,    -4.8, ,      .3, ,     7.4, ,    13.2, ,    15.8, ,    14.8, ,    12.5, ,     6.5, ,    -4.5, ,   -15.8, ,      .7, ,   -16.7, ,     1.0, ,    14.6, ,     4.8, 
1947,   -18.1, ,   -13.1, ,    -6.3, ,    -6.4, ,     4.6, ,    14.2, ,    18.4, ,    17.7, ,     9.8, ,     8.0, ,    -3.7, ,   -15.5, ,      .8, ,   -15.7, ,    -2.7, ,    16.8, ,     4.7, 
1948,   -20.2, ,   -19.4, ,   -11.8, ,      .0, ,     9.1, ,    13.4, ,    17.4, ,    16.5, ,    12.6, ,     5.2, ,      .7, ,    -9.7, ,     1.2, ,   -18.4, ,     -.9, ,    15.8, ,     6.2, 
1949,   -16.3, ,   -17.0, ,   -10.0, ,     1.9, ,     7.9, ,    16.0, ,    18.0, ,    16.6, ,    11.0, ,     6.5, ,    -5.7, ,   -10.8, ,     1.5, ,   -14.3, ,     -.1, ,    16.9, ,     3.9, 
1950,   -17.5, ,   -17.6, ,   -11.4, ,      .4, ,     9.9, ,    13.1, ,    16.9, ,    14.5, ,     9.5, ,     5.2, ,    -1.1, ,   -11.6, ,      .9, ,   -15.3, ,     -.4, ,    14.8, ,     4.5, 
1951,   -16.7, ,   -14.2, ,    -7.2, ,     4.0, ,    10.3, ,    13.5, ,    16.4, ,    15.3, ,    11.2, ,     5.7, ,    -6.2, ,   -13.9, ,     1.5, ,   -14.2, ,     2.4, ,    15.1, ,     3.6, 
1952,   -18.3, ,   -13.1, ,    -5.9, ,      .7, ,     9.2, ,    15.1, ,    19.5, ,    16.5, ,    11.0, ,     3.0, ,    -2.5, ,    -8.1, ,     2.3, ,   -15.1, ,     1.3, ,    17.0, ,     3.8, 
1953,   -16.5, ,   -13.4, ,    -7.5, ,     2.6, ,     9.4, ,    15.1, ,    16.8, ,    15.9, ,    11.0, ,     5.6, ,      .7, ,   -10.7, ,     2.4, ,   -12.7, ,     1.5, ,    15.9, ,     5.8, 
1954,   -21.5, ,   -11.0, ,    -8.6, ,     -.5, ,     8.5, ,    14.6, ,    15.3, ,    14.8, ,    10.3, ,     4.5, ,    -2.3, ,   -12.1, ,     1.0, ,   -14.4, ,     -.2, ,    14.9, ,     4.2, 
1955,   -17.7, ,   -15.9, ,   -10.9, ,      .9, ,    10.1, ,    16.8, ,    18.2, ,    15.9, ,     8.4, ,     5.1, ,    -2.1, ,   -14.5, ,     1.2, ,   -15.2, ,      .0, ,    17.0, ,     3.8, 
1956,   -11.0, ,   -14.3, ,   -12.8, ,      .5, ,     4.6, ,    11.9, ,    12.9, ,    13.8, ,     8.1, ,     6.0, ,    -3.7, ,   -18.6, ,     -.2, ,   -13.3, ,    -2.6, ,    12.9, ,     3.5, 
1957,   -24.6, ,   -13.3, ,    -7.2, ,     -.8, ,     7.8, ,    15.0, ,    16.2, ,    13.2, ,    11.0, ,     5.8, ,     -.7, ,   -10.8, ,     1.0, ,   -18.8, ,     -.1, ,    14.8, ,     5.4, 
1958,   -13.7, ,   -15.2, ,    -1.5, ,     3.2, ,     7.1, ,    11.9, ,    16.7, ,    14.7, ,    11.4, ,     4.5, ,    -3.2, ,   -18.9, ,     1.4, ,   -13.2, ,     2.9, ,    14.4, ,     4.2, 
1959,   -16.0, ,   -21.3, ,   -11.2, ,      .1, ,     9.6, ,    13.8, ,    18.7, ,    16.0, ,    12.1, ,     4.0, ,    -4.7, ,   -13.2, ,      .7, ,   -18.7, ,     -.5, ,    16.2, ,     3.8, 
1960,   -17.2, ,   -10.2, ,   -10.4, ,    -1.1, ,    12.3, ,    14.7, ,    15.3, ,    15.8, ,    10.7, ,     4.0, ,    -1.1, ,   -14.4, ,     1.5, ,   -13.5, ,      .3, ,    15.3, ,     4.5, 
1961,   -21.6, ,   -15.4, ,   -10.2, ,     3.5, ,     7.4, ,    13.3, ,    16.8, ,    16.2, ,    13.9, ,     6.2, ,     -.5, ,   -10.9, ,     1.6, ,   -17.1, ,      .2, ,    15.4, ,     6.5, 
1962,   -20.8, ,   -21.4, ,    -5.6, ,      .8, ,     9.1, ,    15.4, ,    15.1, ,    16.6, ,    10.6, ,     4.8, ,    -5.5, ,   -15.9, ,      .3, ,   -17.7, ,     1.4, ,    15.7, ,     3.3, 
1963,   -19.0, ,   -19.4, ,   -11.3, ,     1.1, ,     8.1, ,    16.2, ,    18.6, ,    13.7, ,     8.9, ,     7.9, ,     -.8, ,   -18.2, ,      .5, ,   -18.1, ,     -.7, ,    16.2, ,     5.3, 
1964,   -15.1, ,   -14.4, ,    -9.3, ,      .1, ,     9.5, ,    13.0, ,    17.1, ,    13.7, ,    10.0, ,     3.1, ,    -4.1, ,   -13.3, ,      .9, ,   -15.9, ,      .1, ,    14.6, ,     3.0, 
1965,   -18.9, ,   -17.7, ,    -8.1, ,     1.3, ,     7.9, ,    15.3, ,    13.6, ,    13.9, ,     9.7, ,     3.2, ,    -7.0, ,   -13.1, ,      .0, ,   -16.6, ,      .4, ,    14.3, ,     2.0, 
1966,   -14.1, ,   -13.3, ,    -6.6, ,      .6, ,     7.0, ,    14.9, ,    17.0, ,    15.2, ,     9.7, ,     4.8, ,    -1.2, ,   -11.6, ,     1.9, ,   -13.5, ,      .3, ,    15.7, ,     4.4, 
1967,   -17.2, ,   -21.5, ,   -13.6, ,    -2.8, ,     4.7, ,    16.2, ,    18.0, ,    16.6, ,    11.0, ,     4.7, ,    -3.2, ,   -11.7, ,      .1, ,   -16.8, ,    -3.9, ,    16.9, ,     4.2, 
1968,   -20.8, ,   -18.0, ,    -7.7, ,     2.4, ,     8.8, ,    14.4, ,    16.7, ,    13.3, ,    13.6, ,     7.2, ,    -4.7, ,   -12.0, ,     1.1, ,   -16.8, ,     1.2, ,    14.8, ,     5.4, 
1969,   -12.8, ,   -12.3, ,    -7.7, ,    -2.0, ,     6.7, ,    13.7, ,    16.6, ,    17.2, ,     9.7, ,     3.8, ,      .0, ,   -12.0, ,     1.7, ,   -12.4, ,    -1.0, ,    15.8, ,     4.5, 
1970,   -21.4, ,   -19.0, ,    -7.5, ,     -.4, ,     8.2, ,    14.6, ,    19.0, ,    17.1, ,    10.2, ,     5.7, ,    -2.1, ,   -17.3, ,      .6, ,   -17.5, ,      .1, ,    16.9, ,     4.6, 
1971,   -19.9, ,   -15.7, ,    -8.6, ,      .3, ,     9.7, ,    14.2, ,    16.1, ,    14.9, ,    12.4, ,     6.3, ,    -4.5, ,   -15.0, ,      .9, ,   -17.6, ,      .5, ,    15.1, ,     4.7, 
1972,   -17.9, ,   -19.4, ,   -12.6, ,    -1.2, ,     8.8, ,    14.0, ,    17.2, ,    14.3, ,    10.0, ,     2.2, ,    -4.1, ,   -18.0, ,     -.6, ,   -17.4, ,    -1.7, ,    15.2, ,     2.7, 
1973,   -16.2, ,   -18.2, ,    -4.8, ,     1.2, ,     8.7, ,    16.3, ,    18.6, ,    18.2, ,    10.5, ,     6.0, ,    -3.5, ,   -11.3, ,     2.1, ,   -17.5, ,     1.7, ,    17.7, ,     4.3, 
1974,   -22.2, ,   -17.7, ,   -11.1, ,    -1.5, ,     5.2, ,    15.8, ,    17.6, ,    16.1, ,     8.7, ,     1.8, ,    -1.9, ,   -10.4, ,      .0, ,   -17.1, ,    -2.5, ,    16.5, ,     2.9, 
1975,   -17.5, ,   -16.1, ,   -10.5, ,     -.5, ,    11.5, ,    17.0, ,    19.1, ,    16.5, ,    10.8, ,     5.0, ,    -2.0, ,   -17.1, ,     1.4, ,   -14.7, ,      .2, ,    17.5, ,     4.6, 
1976,   -20.8, ,   -14.3, ,   -10.7, ,     1.1, ,     9.1, ,    16.9, ,    16.8, ,    15.9, ,     9.5, ,     1.9, ,    -5.6, ,   -19.1, ,      .1, ,   -17.4, ,     -.2, ,    16.5, ,     1.9, 
1977,   -18.8, ,   -13.8, ,    -4.3, ,    -1.5, ,    10.3, ,    13.9, ,    16.1, ,    14.7, ,    10.0, ,     4.6, ,    -1.1, ,   -13.8, ,     1.4, ,   -17.2, ,     1.5, ,    14.9, ,     4.5, 
1978,   -18.3, ,   -16.4, ,   -12.5, ,    -1.3, ,    11.5, ,    13.9, ,    16.4, ,    15.4, ,     8.0, ,     3.3, ,    -5.5, ,   -15.0, ,      .0, ,   -16.2, ,     -.8, ,    15.2, ,     1.9, 
1979,   -16.8, ,   -18.7, ,    -5.5, ,     2.1, ,    10.2, ,    14.7, ,    18.1, ,    14.3, ,    10.1, ,     5.2, ,    -2.1, ,   -11.9,E,     1.6,E,   -16.8, ,     2.3, ,    15.7, ,     4.4, 
1980,   -16.3, ,   -15.6, ,    -7.7, ,     3.4, ,     9.1, ,    12.4, ,    16.0, ,    17.0, ,     8.4, ,     2.5, ,    -5.3, ,   -20.3, ,      .3, ,   -14.6,E,     1.6, ,    15.1, ,     1.9, 
1981,   -18.5, ,    -8.1, ,    -3.3, ,     1.8, ,     8.7, ,    13.6,E,    17.4, ,    16.2, ,    11.1, ,     3.2, ,    -2.4, ,    -8.9, ,     2.6,E,   -15.6, ,     2.4, ,    15.7,E,     4.0, 
1982,   -22.7, ,   -17.9, ,    -9.2, ,    -2.3, ,    10.4, ,    13.0, ,    16.8, ,    12.5, ,    11.1, ,     6.2, ,    -2.4, ,   -10.7, ,      .4, ,   -16.5, ,     -.4, ,    14.1, ,     5.0, 
1983,   -15.1, ,   -13.6, ,    -5.8, ,     1.7, ,     6.8, ,    15.4, ,    17.8, ,    17.5, ,    12.8, ,     4.9, ,    -2.8, ,   -16.8, ,     1.9, ,   -13.1, ,      .9, ,    16.9, ,     5.0, 
1984,   -21.9, ,    -9.1, ,   -11.5, ,     2.9, ,     7.8, ,    14.4, ,    17.5, ,    17.6, ,     9.7, ,     5.1, ,    -3.2, ,   -12.2, ,     1.4, ,   -15.9, ,     -.3, ,    16.5, ,     3.9, 
1985,   -19.2, ,   -13.5, ,    -8.8, ,    -1.6, ,     7.4, ,    13.2,E,    16.9, ,    15.1, ,    11.5, ,     4.8,E,    -4.8, ,   -17.3, ,      .3,E,   -15.0, ,    -1.0, ,    15.1,E,     3.8,E
1986,   -17.7, ,   -16.5, ,    -9.0, ,     4.2, ,     9.9, ,    11.3, ,    15.7, ,    14.7, ,     8.8, ,     2.9, ,    -5.8, ,   -12.3, ,      .5, ,   -17.2, ,     1.7, ,    13.9, ,     2.0, 
1987,   -16.2, ,   -16.7, ,    -4.5, ,     4.9, ,     8.2, ,    15.3, ,    17.9, ,    14.7,E,    11.4, ,     3.7, ,    -4.1, ,   -11.8, ,     1.9,E,   -15.1, ,     2.9, ,    16.0,E,     3.7, 
1988,   -14.9,E,   -17.5, ,    -9.6, ,     2.1, ,    10.9, ,    13.4, ,    18.4, ,    15.5, ,    10.5, ,     3.0, ,    -1.6, ,   -15.3, ,     1.2,E,   -14.7,E,     1.1, ,    15.8, ,     4.0, 
1989,   -17.6, ,   -18.7, ,   -11.4, ,      .2, ,    11.9, ,    14.6, ,    17.2, ,    16.3, ,    11.8, ,     5.1, ,    -6.3, ,   -20.4, ,      .2, ,   -17.2, ,      .2, ,    16.0, ,     3.5, 
1990,   -14.1, ,   -18.1, ,    -8.8, ,     1.7, ,     8.2, ,    15.3, ,    17.3, ,    17.3, ,    10.1, ,     4.1, ,    -2.9, ,   -12.5,E,     1.5,E,   -17.5, ,      .4, ,    16.6, ,     3.8, 
1991,   -21.6, ,   -14.0, ,    -6.8, ,     2.5, ,     9.9, ,    15.7, ,    17.4, ,    17.4, ,     9.1, ,     4.5, ,    -2.5, ,   -15.1, ,     1.4, ,   -16.0,E,     1.9, ,    16.8, ,     3.7, 
1992,   -19.3,E,   -17.8, ,   -12.2, ,    -1.1, ,    10.1, ,    13.3, ,    14.1, ,    15.1,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -17.4,E,    -1.1, ,    14.2,E, -9999.9,M
1993, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.7,E,     1.4,E,    -5.9,a,   -13.7,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.4,a
1994,   -25.9,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.7,E, -9999.9,M, -9999.9,M,    10.9,E,     6.7,a,    -1.4,E,   -10.4,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.4,a
1995,   -15.0,a,   -18.0,a,    -6.6,a,    -2.2,E,     8.7,a,    15.5,E,    18.9,a,    17.0,E,     9.6,a,     7.4,a,    -6.6,a,   -13.6,a,     1.3,a,   -14.5,a,      .0,a,    17.1,a,     3.5,a
1996,   -19.0,a,   -14.5,a,    -7.6,a,     1.6,E,     7.6,a,    16.2,E,    17.2,a,    16.8,a,    12.7,E,     4.0,a,    -4.0,a,    -7.5,a,     2.0,a,   -15.7,a,      .5,a,    16.7,a,     4.2,a
1997,   -17.9,a,   -16.1,a,   -11.6,a,      .7,a,     6.9,a,    15.3,a,    17.7,a,    15.0,a,    11.4,a,     4.8,a,    -3.7,E,   -11.9,a,      .9,a,   -13.8,a,    -1.3,a,    16.0,a,     4.2,a
1998,   -14.4,a,    -8.4,a,    -5.4,a,     4.1,E,    12.6,a,    15.6,a,    17.4,a,    16.4,a,    11.4,a,     5.9,E,    -2.2,a,    -9.8,a,     3.6,a,   -11.6,a,     3.8,a,    16.5,a,     5.0,a
1999,   -16.7,a,   -12.6,a,    -6.7,a,     1.4,a,    13.0,a,    16.7,a,    17.5,E,    16.1,a,    14.9,a,     3.4,a,     -.3,a,    -9.1,a,     3.1,a,   -13.0,a,     2.6,a,    16.8,a,     6.0,a
2000,   -17.6,a,   -12.8,a,    -3.5,a,      .8,a,     9.5,a,    12.7,a,    16.8,a,    16.0,a,    10.4,E,     4.7,a,     -.6,E,   -13.7,E,     1.9,a,   -13.2,a,     2.3,a,    15.2,a,     4.8,a
2001,   -15.7,a,   -16.0,a,    -8.3,a,      .7,a,    12.3,a,    15.8,a, -9999.9,M,    17.4,a,    12.6,a,     6.3,a,     -.4,a,    -6.1,a, -9999.9,M,   -15.1,a,     1.6,a, -9999.9,M,     6.2,a
2002,   -15.6,a,   -14.8,a,   -11.3,a,      .6,a,     8.0,E,    13.4,a,    18.0,a,    17.4,a,    12.5,E,     3.0,a,    -4.7,a,   -10.0,a,     1.4,a,   -12.2,a,     -.9,a,    16.3,a,     3.6,a
2003,   -18.6,E,   -18.0,a,    -9.3,a,     -.8,a,     9.9,a,    16.1,a,    17.4,E,    16.9,E,    13.4,E,     4.1,E, -9999.9,M,   -10.7,a, -9999.9,M,   -15.5,a,     -.1,a,    16.8,a, -9999.9,M
2004,   -20.7,E,   -13.3,E,    -8.2,a,    -1.0,E,     7.0,a,    12.9,a,    17.6,a,    15.4,a,    12.3,a,     5.3,a,    -3.6,a,   -15.4,E,      .7,a,   -14.9,a,     -.7,a,    15.3,a,     4.7,a
2005,   -20.6,a,   -12.4,a,    -6.9,a,     2.8,a,     9.0,a,    17.2,a,    18.2,a,    16.6,a,    13.2,a,     6.4,a,    -2.3,a,   -12.4,a,     2.4,a,   -16.1,a,     1.6,a,    17.3,a,     5.8,a
2006,   -13.1,a,   -16.3,a,    -4.8,a,     3.3,a,    10.9,a,    17.0,a,    18.1,a,    14.9,E,    10.6,a,     4.7,a,      .5,a,    -8.1,a,     3.1,a,   -13.9,a,     3.1,a,    16.7,a,     5.3,a
2007,   -14.3,E,   -16.8,a,    -8.9,E,     2.7,a,    10.7,a,    15.4,a,    16.7,a,    14.4,a,    11.9,a,     7.5,a,    -2.7,a,   -14.2,a,     1.9,a,   -13.1,a,     1.5,a,    15.5,a,     5.6,a
2008,   -14.1,a,   -16.0,a,   -12.0,a,     2.7,a,     8.4,a,    15.3,a,    18.1,a,    17.0,a,    11.4,a,     5.4,a,     -.8,a,   -14.3,a,     1.8,a,   -14.8,a,     -.3,a,    16.8,a,     5.3,a
